title,price,link,brand,model,subtitle,description,features,location
2025 BMW M850i xDrive Coupe,,https://www.dubizzle.sa/en/ad/2025-bmw-m850i-xdrive-coupe-ID110477565.html,,,,,,
شانجان يوني-V 2025 إيليت,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D9%8A-v-2025-%D8%A5%D9%8A%D9%84%D9%8A%D8%AA-ID110477564.html,,,,,,
شانجان يوني-T 2025 إيليت فل,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D9%8A-t-2025-%D8%A5%D9%8A%D9%84%D9%8A%D8%AA-%D9%81%D9%84-ID110477566.html,,,,,,
2025 BMW 530i xDrive Certified,,https://www.dubizzle.sa/en/ad/2025-bmw-530i-xdrive-certified-ID110477563.html,,,,,,
سوزوكي بالينو 2025 فل كامل | Suzuki Baleno 2025 Full,,https://www.dubizzle.sa/en/ad/%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D8%A8%D8%A7%D9%84%D9%8A%D9%86%D9%88-2025-%D9%81%D9%84-%D9%83%D8%A7%D9%85%D9%84-suzuki-baleno-2025-full-ID110477513.html,,,,,,
كيا K3 2024 فل كامل | Kia K3 2024 Full Option,,https://www.dubizzle.sa/en/ad/%D9%83%D9%8A%D8%A7-k3-2024-%D9%81%D9%84-%D9%83%D8%A7%D9%85%D9%84-kia-k3-2024-full-option-ID110477510.html,,,,,,
شانجان يوني-V 2025 إيليت,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D9%8A-v-2025-%D8%A5%D9%8A%D9%84%D9%8A%D8%AA-ID110477568.html,,,,,,
سوزوكي ارتيجا 2025 فل كامل | Suzuki Ertiga 2025 Full,,https://www.dubizzle.sa/en/ad/%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D8%A7%D8%B1%D8%AA%D9%8A%D8%AC%D8%A7-2025-%D9%81%D9%84-%D9%83%D8%A7%D9%85%D9%84-suzuki-ertiga-2025-full-ID110477500.html,,,,,,
Honda ZR-V 2024,,https://www.dubizzle.sa/en/ad/honda-zr-v-2024-ID110477096.html,,,,,,
شانجان يوني-T 2025 إيليت فل,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D9%8A-t-2025-%D8%A5%D9%8A%D9%84%D9%8A%D8%AA-%D9%81%D9%84-ID110477567.html,,,,,,
Audi R8 2011 V10,,https://www.dubizzle.sa/en/ad/audi-r8-2011-v10-ID110455112.html,,,,,,
MG ZS LUX 2024,,https://www.dubizzle.sa/en/ad/mg-zs-lux-2024-ID110477552.html,,,,,,
بي ام دبليو 730Li 2015 | BMW 730Li 2015,,https://www.dubizzle.sa/en/ad/%D8%A8%D9%8A-%D8%A7%D9%85-%D8%AF%D8%A8%D9%84%D9%8A%D9%88-730li-2015-bmw-730li-2015-ID110477266.html,,,,,,
بي ام دبليو 730Li 2021 | BMW 730Li 2021,,https://www.dubizzle.sa/en/ad/%D8%A8%D9%8A-%D8%A7%D9%85-%D8%AF%D8%A8%D9%84%D9%8A%D9%88-730li-2021-bmw-730li-2021-ID110477274.html,,,,,,
Volkswagen Tiguan 2023,,https://www.dubizzle.sa/en/ad/volkswagen-tiguan-2023-ID110472048.html,,,,,,
شانجان يوني-V 2025 إيليت,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D9%8A-v-2025-%D8%A5%D9%8A%D9%84%D9%8A%D8%AA-ID110477569.html,,,,,,
MG ZS LUX 2024,,https://www.dubizzle.sa/en/ad/mg-zs-lux-2024-ID110477554.html,,,,,,
سوزوكي فرونكس 2025 | Suzuki Fronx 2025,,https://www.dubizzle.sa/en/ad/%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D9%81%D8%B1%D9%88%D9%86%D9%83%D8%B3-2025-suzuki-fronx-2025-ID110477524.html,,,,,,
ايسوزو غمارتين 2019 دبل | Isuzu Double Cab 2019 4WD,,https://www.dubizzle.sa/en/ad/%D8%A7%D9%8A%D8%B3%D9%88%D8%B2%D9%88-%D8%BA%D9%85%D8%A7%D8%B1%D8%AA%D9%8A%D9%86-2019-%D8%AF%D8%A8%D9%84-isuzu-double-cab-2019-4wd-ID110477290.html,,,,,,
MG ZS LUX 2024,,https://www.dubizzle.sa/en/ad/mg-zs-lux-2024-ID110477553.html,,,,,,
مازدا 6 2023 بحالة ممتازة | Mazda 6 2023 in Excellent Condition,,https://www.dubizzle.sa/en/ad/%D9%85%D8%A7%D8%B2%D8%AF%D8%A7-6-2023-%D8%A8%D8%AD%D8%A7%D9%84%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-mazda-6-2023-in-excellent-condition-ID110477309.html,,,,,,
مازدا 6 2023 للبيع | Mazda 6 2023 for Sale,,https://www.dubizzle.sa/en/ad/%D9%85%D8%A7%D8%B2%D8%AF%D8%A7-6-2023-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-mazda-6-2023-for-sale-ID110477293.html,,,,,,
تويوتا كورولا 2021 | Toyota Corolla 2021,,https://www.dubizzle.sa/en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%84%D8%A7-2021-toyota-corolla-2021-ID110477316.html,,,,,,
تويوتا هايلاندر 2023 | Toyota Highlander 2023,,https://www.dubizzle.sa/en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%87%D8%A7%D9%8A%D9%84%D8%A7%D9%86%D8%AF%D8%B1-2023-toyota-highlander-2023-ID110477318.html,,,,,,
شانجان CS95 2024 رويال,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-cs95-2024-%D8%B1%D9%88%D9%8A%D8%A7%D9%84-ID110477556.html,,,,,,
هوندا اكورد 2025 EX رمادي | Honda Accord 2025 EX Gray,,https://www.dubizzle.sa/en/ad/%D9%87%D9%88%D9%86%D8%AF%D8%A7-%D8%A7%D9%83%D9%88%D8%B1%D8%AF-2025-ex-%D8%B1%D9%85%D8%A7%D8%AF%D9%8A-honda-accord-2025-ex-gray-ID110477507.html,,,,,,
شانجان CS95 2024 رويال,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-cs95-2024-%D8%B1%D9%88%D9%8A%D8%A7%D9%84-ID110477558.html,,,,,,
MG RX5 Plus STD 2024,,https://www.dubizzle.sa/en/ad/mg-rx5-plus-std-2024-ID110477551.html,,,,,,
بي ام دبليو 730Li 2019 | BMW 730Li 2019,,https://www.dubizzle.sa/en/ad/%D8%A8%D9%8A-%D8%A7%D9%85-%D8%AF%D8%A8%D9%84%D9%8A%D9%88-730li-2019-bmw-730li-2019-ID110477271.html,,,,,,
Mercedes S580 2022,,https://www.dubizzle.sa/en/ad/mercedes-s580-2022-ID110477561.html,,,,,,
Mazda 6 2017,,https://www.dubizzle.sa/en/ad/mazda-6-2017-ID110476561.html,,,,,,
تويوتا كامري 2022 هايبرد | Toyota Camry 2022 Hybrid,,https://www.dubizzle.sa/en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D8%A7%D9%85%D8%B1%D9%8A-2022-%D9%87%D8%A7%D9%8A%D8%A8%D8%B1%D8%AF-toyota-camry-2022-hybrid-ID110477313.html,,,,,,
شانجان CS35 2025,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-cs35-2025-ID110477555.html,,,,,,
تويوتا كورولا 2024 | Toyota Corolla 2024,,https://www.dubizzle.sa/en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%84%D8%A7-2024-toyota-corolla-2024-ID110477527.html,,,,,,
Geely Azkarra 2022 Full Option 1.5 4WD,,https://www.dubizzle.sa/en/ad/geely-azkarra-2022-full-option-15-4wd-ID110455299.html,,,,,,
Audi A8L 2023,,https://www.dubizzle.sa/en/ad/audi-a8l-2023-ID110477557.html,,,,,,
شانجان يوني-T 2025 إيليت فل,,https://www.dubizzle.sa/en/ad/%D8%B4%D8%A7%D9%86%D8%AC%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D9%8A-t-2025-%D8%A5%D9%8A%D9%84%D9%8A%D8%AA-%D9%81%D9%84-ID110477562.html,,,,,,
