make,model,year,cluster_seed,count
Toyota,Corolla,2016,gli,1
Chevrolet,Cruze,2015,ls,1
Toyota,Corolla,2019,le,2
Toyota,Corolla,2019,xli,1
Hyundai,Sonata,2025,comfort,4
Hyundai,Sonata,2025,gdi,4
Hyundai,Sonata,2025,2 5,1
Hyundai,Sonata,2025,esp,1
Hyundai,Sonata,2025,ebd,1
Hyundai,Sonata,2025,gls,17
Hyundai,Sonata,2025,smart,1
Land Rover,Range Rover Sport,2023,first edition,4
GMC,Yukon,2024,denali,2
GMC,Yukon,2024,sle,46
Jetour,T2,2025,السنة,2
Jetour,T2,2025,lux,2
Jetour,T2,2025,xwd,29
Jetour,T2,2025,dct,1
Jetour,T2,2025,comfort,2
Ford,F150,2023,raptor,1
Ford,F150,2023,xlt,4
Bentley,Mulsanne,2017,first edition,2
Lucid,Air,2024,pure,2
Lucid,Air,2024,top,1
Land Rover,Range Rover,2024,hse,17
Land Rover,Range Rover,2024,lwb,2
Land Rover,Range Rover,2024,swb,3
Cadillac,Escalade,2024,sport,1
Cadillac,Escalade,2024,platinum,1
Cadillac,Escalade,2024,v,1
Bentley,Mulsanne,2016,beluga,2
Mercedes-Benz,GLE 53 AMG,2023,gle,5
Mercedes-Benz,GLE 53 AMG,2023,amg,5
Mercedes-Benz,GLE 53 AMG,2023,kit,1
BMW,X1,2024,xdrive,1
BMW,X1,2024,model,1
BMW,X1,2024,now,2
Changan,Uni-K,2024,uni,2
Changan,Uni-T,2023,uni,2
Changan,Uni-T,2023,unl,2
Chery,Arrizo,2024,pro,8
Chery,Arrizo,2024,5,2
Chery,Arrizo,2024,6,7
Chery,Arrizo,2024,eco,1
Haval,Jolion,2021,dct,1
Geely,Okavango,2024,dct,1
Haval,Jolion,2024,pro,2
Haval,Jolion,2024,dct,1
Haval,H6 GT,2023,dct,1
Hyundai,Venue,2025,dct,1
Hyundai,Venue,2025,gdi,1
Changan,Eado Plus,2024,dct,1
Fiat,500,2021,electric,1
Toyota,Yaris,2024,y,5
Toyota,Yaris,2024,yx,2
Toyota,Yaris,2024,out,1
Toyota,Yaris,2024,low,1
Toyota,Yaris,2024,plus,1
Toyota,Yaris,2024,old,1
Toyota,Yaris,2024,mid,1
Toyota,Yaris,2024,standard,1
Ford,Territory,2025,titanium,3
Ford,Territory,2025,1 8,1
Ford,Territory,2025,dark,4
Ford,Territory,2025,trend,5
Ford,Territory,2025,ambiente,2
Ford,Territory,2025,featuring,1
Ford,Territory,2025,mid,1
BAIC,X7,2023,owner,1
BAIC,X7,2023,model,1
Nissan,X-Trail,2024,sv,1
Hyundai,Tucson,2025,smart,6
Hyundai,Tucson,2025,mpi,1
Hyundai,Tucson,2025,1 6,1
Hyundai,Tucson,2025,standard,1
Hyundai,Tucson,2025,comfort,1
Hyundai,Tucson,2025,premium,2
Hyundai,Tucson,2025,uph,1
Hyundai,Tucson,2025,dct,1
Nissan,Altima,2024,sv,2
Nissan,Altima,2024,standard,1
Nissan,Altima,2024,s,2
Nissan,Patrol,2024,se2,2
Nissan,Patrol,2024,titanium,2
Nissan,Patrol,2024,platinum,3
Nissan,Patrol,2024,xe,1
Nissan,Patrol,2024,v6,1
Honda,City,2024,dx,2
Honda,City,2024,sport,1
Haval,H6,2023,premium,1
Toyota,Fortuner,2024,gx2,1
Toyota,Fortuner,2024,vxr,2
Toyota,Fortuner,2024,vx3,2
Toyota,Fortuner,2024,diesel,1
Toyota,Fortuner,2024,dsl,1
Nissan,X-Trail,2023,sv,1
Toyota,Camry,2025,e,18
Toyota,Camry,2025,le,8
Toyota,Camry,2025,drl,3
Toyota,Camry,2025,mid,1
Toyota,Camry,2025,cft,1
Toyota,Camry,2025,grande,1
Toyota,Camry,2025,hev,4
Toyota,Camry,2025,my,1
Toyota,Camry,2025,lumiere,1
Toyota,Camry,2025,owned,1
Hyundai,Creta,2025,smart,4
Hyundai,Creta,2025,comfort,4
Hyundai,Creta,2025,two,1
Hyundai,Creta,2025,alpha,1
