make,model,year,trim,base msrp,body type,front head room (in),cylinders,epa combined mpge,engine type,basic
Acura,Integra,2025,4dr Hatchback (1.5L 4cyl Turbo CVT),"$33,000",Hatchback,37.6,I4,,gas,4 yr./ 50000 mi.
Acura,Integra,2025,4dr Hatchback w/A-Spec and Technology Packages (1.5L 4cyl Turbo CVT),"$38,000",Hatchback,37.6,I4,,gas,4 yr./ 50000 mi.
Acura,Integra,2025,4dr Hatchback w/A-Spec Package (1.5L 4cyl Turbo CVT),"$35,000",Hatchback,37.6,I4,,gas,4 yr./ 50000 mi.
Acura,Integra,2025,4dr Hatchback w/A-Spec and Technology Packages (1.5L 4cyl Turbo 6M),"$38,000",Hatchback,37.6,I4,,gas,4 yr./ 50000 mi.
Acura,Integra,2025,Type S 4dr Hatchback (2.0L 4cyl Turbo 6M),"$52,600",Hatchback,38.6,I4,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV (3.5L 6cyl 10A),"$51,200",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV AWD w/A-Spec and Advance Packages (3.5L 6cyl 10A),"$68,300",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV w/Technology Package (3.5L 6cyl 10A),"$56,600",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV AWD w/Advance Package (3.5L 6cyl 10A),"$66,300",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV AWD w/Technology Package (3.5L 6cyl 10A),"$58,800",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV AWD (3.5L 6cyl 10A),"$53,400",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,4dr SUV AWD w/A-Spec Package (3.5L 6cyl 10A),"$61,800",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,MDX,2025,Type S 4dr SUV AWD w/Advance Package (3.0L 6cyl Turbo 10A),"$75,250",SUV,38.5,V6,,gas,4 yr./ 50000 mi.
Acura,RDX,2025,4dr SUV AWD (2.0L 4cyl Turbo 10A),"$44,700",SUV,40,I4,,gas,4 yr./ 50000 mi.
Acura,RDX,2025,4dr SUV AWD w/A-Spec and Advance Packages (2.0L 4cyl Turbo 10A),"$54,450",SUV,40,I4,,gas,4 yr./ 50000 mi.
Acura,RDX,2025,4dr SUV AWD w/Advance Package (2.0L 4cyl Turbo 10A),"$52,450",SUV,40,I4,,gas,4 yr./ 50000 mi.
Acura,RDX,2025,4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A),"$47,300",SUV,40,I4,,gas,4 yr./ 50000 mi.
Acura,RDX,2025,4dr SUV AWD w/A-Spec Package (2.0L 4cyl Turbo 10A),"$50,300",SUV,40,I4,,gas,4 yr./ 50000 mi.
Acura,TLX,2025,4dr Sedan w/Technology Package (2.0L 4cyl Turbo 10A),"$45,400",Sedan,37.2,I4,,gas,4 yr./ 50000 mi.
Acura,TLX,2025,4dr Sedan AWD w/A-Spec Package (2.0L 4cyl Turbo 10A),"$50,400",Sedan,37.2,I4,,gas,4 yr./ 50000 mi.
Acura,TLX,2025,Type S 4dr Sedan AWD (3.0L 6cyl Turbo 10A),"$57,750",Sedan,37.2,V6,,gas,4 yr./ 50000 mi.
